numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
e75824cec0e60dde;2012;3;Não;Não;Não;Sim;Não;Não;Não;e75824cec0e60dde-Não-Não-Não-Sim-Não-Não-Não
01bcce0383abc986;2012;3;Sim;Não;Não;Não;Não;Não;Não;01bcce0383abc986-Sim-Não-Não-Não-Não-Não-Não
fb7d11b4148ebc71;2012;3;Sim;Não;Não;Não;Não;Não;Não;fb7d11b4148ebc71-Sim-Não-Não-Não-Não-Não-Não
6ba5bc9b5395b264;2012;1;Sim;Não;Não;Não;Não;Não;Não;6ba5bc9b5395b264-Sim-Não-Não-Não-Não-Não-Não
ec0c826561820a30;2012;1;Sim;Não;Não;Não;Não;Não;Não;ec0c826561820a30-Sim-Não-Não-Não-Não-Não-Não
f8d6d699d5bbd189;2012;9;Sim;Não;Não;Não;Não;Não;Não;f8d6d699d5bbd189-Sim-Não-Não-Não-Não-Não-Não
2fd310fe03e50851;2012;8;Sim;Não;Não;Não;Não;Não;Não;2fd310fe03e50851-Sim-Não-Não-Não-Não-Não-Não
1c84048958b67a83;2012;8;Sim;Não;Não;Não;Não;Não;Não;1c84048958b67a83-Sim-Não-Não-Não-Não-Não-Não
c1bd7c28c70a1930;2012;9;Sim;Não;Não;Não;Não;Não;Não;c1bd7c28c70a1930-Sim-Não-Não-Não-Não-Não-Não
b9bcd44b6c5db758;2012;9;Sim;Não;Não;Não;Não;Não;Não;b9bcd44b6c5db758-Sim-Não-Não-Não-Não-Não-Não
99e5342b89fd9d9b;2012;9;Sim;Não;Não;Não;Não;Não;Não;99e5342b89fd9d9b-Sim-Não-Não-Não-Não-Não-Não
cdabc6d6f06c4599;2012;9;Sim;Não;Não;Não;Não;Não;Não;cdabc6d6f06c4599-Sim-Não-Não-Não-Não-Não-Não
fc5635114cc95cd0;2012;9;Sim;Não;Não;Não;Não;Não;Não;fc5635114cc95cd0-Sim-Não-Não-Não-Não-Não-Não
ada8a206d268765a;2012;9;Sim;Não;Não;Não;Não;Não;Não;ada8a206d268765a-Sim-Não-Não-Não-Não-Não-Não
d649d291d8f9f4e8;2012;9;Sim;Não;Não;Não;Não;Não;Não;d649d291d8f9f4e8-Sim-Não-Não-Não-Não-Não-Não
cb673e4ddc2831ae;2012;9;Sim;Não;Não;Não;Não;Não;Não;cb673e4ddc2831ae-Sim-Não-Não-Não-Não-Não-Não
055896c82ee8b72c;2012;8;Não;Não;Não;Não;Sim;Não;Não;055896c82ee8b72c-Não-Não-Não-Não-Sim-Não-Não
e92db8f3147fa307;2012;9;Sim;Não;Não;Não;Não;Não;Não;e92db8f3147fa307-Sim-Não-Não-Não-Não-Não-Não
fb495d51890ec1a4;2012;10;Sim;Não;Não;Não;Não;Não;Não;fb495d51890ec1a4-Sim-Não-Não-Não-Não-Não-Não
a3fa9999e61d46b2;2012;10;Sim;Não;Não;Não;Não;Não;Não;a3fa9999e61d46b2-Sim-Não-Não-Não-Não-Não-Não
d36e73c8a850616c;2012;10;Sim;Não;Não;Não;Não;Não;Não;d36e73c8a850616c-Sim-Não-Não-Não-Não-Não-Não
6712cab57ced0500;2012;10;Não;Não;Não;Sim;Não;Não;Não;6712cab57ced0500-Não-Não-Não-Sim-Não-Não-Não
ecb5181788ad48c6;2012;10;Sim;Não;Não;Não;Não;Não;Não;ecb5181788ad48c6-Sim-Não-Não-Não-Não-Não-Não
e1bba7fa0e666962;2012;10;Sim;Não;Não;Não;Não;Não;Não;e1bba7fa0e666962-Sim-Não-Não-Não-Não-Não-Não
ac1746837a769559;2012;10;Sim;Não;Não;Não;Não;Não;Não;ac1746837a769559-Sim-Não-Não-Não-Não-Não-Não
5f3cb780b1a8a276;2012;10;Não;Não;Não;Não;Sim;Não;Não;5f3cb780b1a8a276-Não-Não-Não-Não-Sim-Não-Não
8d77b1d91a9f8575;2012;10;Sim;Não;Não;Não;Não;Não;Não;8d77b1d91a9f8575-Sim-Não-Não-Não-Não-Não-Não
2be36d8065cff8a8;2012;10;Sim;Não;Não;Não;Não;Não;Não;2be36d8065cff8a8-Sim-Não-Não-Não-Não-Não-Não
c16f0c4a9bb9fc5d;2012;10;Sim;Não;Não;Não;Não;Não;Não;c16f0c4a9bb9fc5d-Sim-Não-Não-Não-Não-Não-Não
5f242ce52c1a4e73;2012;10;Sim;Não;Não;Não;Não;Não;Não;5f242ce52c1a4e73-Sim-Não-Não-Não-Não-Não-Não
a5659254afa19e6b;2012;6;Sim;Não;Não;Não;Não;Não;Não;a5659254afa19e6b-Sim-Não-Não-Não-Não-Não-Não
dc06274a266ffadd;2012;6;Sim;Não;Não;Não;Não;Não;Não;dc06274a266ffadd-Sim-Não-Não-Não-Não-Não-Não
