numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
11e4bb54c0e28636;2019;11;Sim;Não;Não;Não;Não;Não;Não;11e4bb54c0e28636-Sim-Não-Não-Não-Não-Não-Não
251e2f1e2f5085ae;2019;11;Sim;Não;Não;Não;Não;Não;Não;251e2f1e2f5085ae-Sim-Não-Não-Não-Não-Não-Não
6090103bc02cfe17;2019;4;Sim;Não;Não;Não;Não;Não;Não;6090103bc02cfe17-Sim-Não-Não-Não-Não-Não-Não
50e79af6357ad0fa;2019;4;Sim;Não;Não;Não;Não;Não;Não;50e79af6357ad0fa-Sim-Não-Não-Não-Não-Não-Não
0105444a94638e75;2019;4;Sim;Não;Não;Não;Não;Não;Não;0105444a94638e75-Sim-Não-Não-Não-Não-Não-Não
5b52c2952dd3a769;2019;3;Sim;Não;Não;Não;Não;Não;Não;5b52c2952dd3a769-Sim-Não-Não-Não-Não-Não-Não
b64d69e9aace1d04;2019;3;Sim;Não;Não;Não;Não;Não;Não;b64d69e9aace1d04-Sim-Não-Não-Não-Não-Não-Não
dfd3772a3f33c80c;2019;9;Não;Não;Não;Não;Sim;Não;Não;dfd3772a3f33c80c-Não-Não-Não-Não-Sim-Não-Não
d6d896db7d0080eb;2019;9;Sim;Não;Não;Não;Não;Não;Não;d6d896db7d0080eb-Sim-Não-Não-Não-Não-Não-Não
6872926aeafb014e;2019;9;Sim;Não;Não;Não;Não;Não;Não;6872926aeafb014e-Sim-Não-Não-Não-Não-Não-Não
53932e6dc5b3606b;2019;9;Sim;Não;Não;Não;Não;Não;Não;53932e6dc5b3606b-Sim-Não-Não-Não-Não-Não-Não
fe51ee469f1b3f13;2019;5;Sim;Não;Não;Não;Não;Não;Não;fe51ee469f1b3f13-Sim-Não-Não-Não-Não-Não-Não
aeb383c79d0abdf2;2019;7;Sim;Não;Não;Não;Não;Não;Não;aeb383c79d0abdf2-Sim-Não-Não-Não-Não-Não-Não
9139b9d388d50d00;2019;7;Sim;Não;Não;Não;Não;Não;Não;9139b9d388d50d00-Sim-Não-Não-Não-Não-Não-Não
4494915f19d81219;2019;3;Sim;Não;Não;Não;Não;Não;Não;4494915f19d81219-Sim-Não-Não-Não-Não-Não-Não
9f27f13824b100cb;2019;4;Não;Não;Não;Não;Sim;Não;Não;9f27f13824b100cb-Não-Não-Não-Não-Sim-Não-Não
0e62d2c3a8135c1a;2019;8;Não;Não;Não;Não;Sim;Não;Não;0e62d2c3a8135c1a-Não-Não-Não-Não-Sim-Não-Não
c5bebddf99baf533;2019;8;Sim;Não;Não;Não;Não;Não;Não;c5bebddf99baf533-Sim-Não-Não-Não-Não-Não-Não
b1ed953308c353da;2019;8;Não;Não;Não;Sim;Não;Sim;Não;b1ed953308c353da-Não-Não-Não-Sim-Não-Sim-Não
1e6266dc4d44d80b;2019;8;Sim;Não;Não;Não;Não;Não;Não;1e6266dc4d44d80b-Sim-Não-Não-Não-Não-Não-Não
9a5d725c8b3b7566;2019;12;Sim;Não;Não;Não;Não;Não;Não;9a5d725c8b3b7566-Sim-Não-Não-Não-Não-Não-Não
ad15e969ebf886ae;2019;12;Sim;Não;Não;Não;Não;Não;Não;ad15e969ebf886ae-Sim-Não-Não-Não-Não-Não-Não
3fe0c434fafdb792;2019;7;Sim;Não;Não;Não;Não;Não;Não;3fe0c434fafdb792-Sim-Não-Não-Não-Não-Não-Não
3342e42e414df4b1;2019;7;Sim;Não;Não;Não;Não;Não;Não;3342e42e414df4b1-Sim-Não-Não-Não-Não-Não-Não
0b6a7f91c5202ebf;2019;7;Sim;Não;Não;Não;Não;Não;Não;0b6a7f91c5202ebf-Sim-Não-Não-Não-Não-Não-Não
43488b1fe225d826;2019;6;Sim;Não;Não;Não;Não;Não;Não;43488b1fe225d826-Sim-Não-Não-Não-Não-Não-Não
fdb9de6f3a88bfa2;2019;7;Sim;Não;Não;Não;Não;Não;Não;fdb9de6f3a88bfa2-Sim-Não-Não-Não-Não-Não-Não
186b3daabb3c7799;2019;3;Sim;Não;Não;Não;Não;Não;Não;186b3daabb3c7799-Sim-Não-Não-Não-Não-Não-Não
d0fa062131d123c8;2019;9;Sim;Não;Não;Não;Não;Não;Não;d0fa062131d123c8-Sim-Não-Não-Não-Não-Não-Não
563294d271c228b2;2019;9;Não;Não;Não;Sim;Não;Sim;Sim;563294d271c228b2-Não-Não-Não-Sim-Não-Sim-Sim
24eaabbeee2f80da;2019;9;Sim;Não;Não;Não;Não;Não;Não;24eaabbeee2f80da-Sim-Não-Não-Não-Não-Não-Não
f5bd2e1c52cc208f;2019;9;Sim;Não;Não;Não;Não;Não;Não;f5bd2e1c52cc208f-Sim-Não-Não-Não-Não-Não-Não
37a8cb1420d4d635;2019;2;Sim;Não;Não;Não;Não;Não;Não;37a8cb1420d4d635-Sim-Não-Não-Não-Não-Não-Não
165fb0a8891acbdc;2019;2;Sim;Não;Não;Não;Não;Não;Não;165fb0a8891acbdc-Sim-Não-Não-Não-Não-Não-Não
9c7eba530841c319;2019;2;Sim;Não;Não;Não;Não;Não;Não;9c7eba530841c319-Sim-Não-Não-Não-Não-Não-Não
9573079d629379c5;2019;2;Sim;Não;Não;Não;Não;Não;Não;9573079d629379c5-Sim-Não-Não-Não-Não-Não-Não
02c286528e16e17d;2019;2;Sim;Não;Não;Não;Não;Não;Não;02c286528e16e17d-Sim-Não-Não-Não-Não-Não-Não
72c85e48bcf94bbc;2019;2;Sim;Não;Não;Não;Não;Não;Não;72c85e48bcf94bbc-Sim-Não-Não-Não-Não-Não-Não
81332ce75c8631c4;2019;1;Sim;Não;Não;Não;Não;Não;Não;81332ce75c8631c4-Sim-Não-Não-Não-Não-Não-Não
971e5852d4ac709f;2019;2;Sim;Não;Não;Não;Não;Não;Não;971e5852d4ac709f-Sim-Não-Não-Não-Não-Não-Não
840cd0610b14aa2b;2019;8;Sim;Não;Não;Não;Não;Não;Não;840cd0610b14aa2b-Sim-Não-Não-Não-Não-Não-Não
a2643ca7dd4d57e8;2019;8;Sim;Não;Não;Não;Não;Não;Não;a2643ca7dd4d57e8-Sim-Não-Não-Não-Não-Não-Não
e810cfe406f76430;2019;11;Não;Sim;Não;Não;Não;Não;Não;e810cfe406f76430-Não-Sim-Não-Não-Não-Não-Não
3f02321e02c41088;2019;4;Sim;Não;Não;Não;Não;Não;Não;3f02321e02c41088-Sim-Não-Não-Não-Não-Não-Não
aae8b3cc92785e58;2019;12;Sim;Não;Não;Não;Não;Não;Não;aae8b3cc92785e58-Sim-Não-Não-Não-Não-Não-Não
687bcad397bf43b7;2019;6;Sim;Não;Não;Não;Não;Não;Não;687bcad397bf43b7-Sim-Não-Não-Não-Não-Não-Não
720064ba7666df28;2019;6;Sim;Não;Não;Não;Não;Não;Não;720064ba7666df28-Sim-Não-Não-Não-Não-Não-Não
fb5adce4a5b3a38a;2019;6;Não;Sim;Não;Não;Não;Não;Não;fb5adce4a5b3a38a-Não-Sim-Não-Não-Não-Não-Não
071c3e6ebb31715c;2019;6;Sim;Não;Não;Não;Não;Não;Não;071c3e6ebb31715c-Sim-Não-Não-Não-Não-Não-Não
79b6c2e878bf77f1;2019;7;Sim;Não;Não;Não;Não;Não;Não;79b6c2e878bf77f1-Sim-Não-Não-Não-Não-Não-Não
ca00f2b7bce76d93;2019;7;Sim;Não;Não;Não;Não;Não;Não;ca00f2b7bce76d93-Sim-Não-Não-Não-Não-Não-Não
c3ad8769b15021df;2019;7;Sim;Não;Não;Não;Não;Não;Não;c3ad8769b15021df-Sim-Não-Não-Não-Não-Não-Não
1de7bfce3b90d5c4;2019;7;Sim;Não;Não;Não;Não;Não;Não;1de7bfce3b90d5c4-Sim-Não-Não-Não-Não-Não-Não
eb302375e965f28a;2019;7;Sim;Não;Não;Não;Não;Não;Não;eb302375e965f28a-Sim-Não-Não-Não-Não-Não-Não
8e3c51b6776d462b;2019;2;Sim;Não;Não;Não;Não;Não;Não;8e3c51b6776d462b-Sim-Não-Não-Não-Não-Não-Não
1be38e39080f4a0e;2019;2;Sim;Não;Não;Não;Não;Não;Não;1be38e39080f4a0e-Sim-Não-Não-Não-Não-Não-Não
8e9cb0630bdbb8c0;2019;10;Sim;Não;Não;Não;Não;Não;Não;8e9cb0630bdbb8c0-Sim-Não-Não-Não-Não-Não-Não
