numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
84c13dbab22ca9b2;2016;12;Sim;Não;Não;Não;Não;Não;Não;84c13dbab22ca9b2-Sim-Não-Não-Não-Não-Não-Não
442f2d97d6f520c6;2016;12;Sim;Não;Não;Não;Não;Não;Não;442f2d97d6f520c6-Sim-Não-Não-Não-Não-Não-Não
bea3504b83d3aa60;2016;12;Não;Não;Não;Não;Sim;Não;Não;bea3504b83d3aa60-Não-Não-Não-Não-Sim-Não-Não
ac4560f87b4edf1b;2016;12;Sim;Não;Não;Não;Não;Não;Não;ac4560f87b4edf1b-Sim-Não-Não-Não-Não-Não-Não
d729d3f4e0728d98;2016;12;Sim;Não;Não;Não;Não;Não;Não;d729d3f4e0728d98-Sim-Não-Não-Não-Não-Não-Não
b3d0bc579783a4e9;2016;1;Não;Não;Não;Sim;Não;Não;Não;b3d0bc579783a4e9-Não-Não-Não-Sim-Não-Não-Não
143d5c9e4ad896b4;2016;3;Sim;Não;Não;Não;Não;Não;Não;143d5c9e4ad896b4-Sim-Não-Não-Não-Não-Não-Não
0a1e29c84bab2d21;2016;10;Sim;Não;Não;Não;Não;Não;Não;0a1e29c84bab2d21-Sim-Não-Não-Não-Não-Não-Não
760f89c2fcd03e78;2016;10;Sim;Não;Não;Não;Não;Não;Não;760f89c2fcd03e78-Sim-Não-Não-Não-Não-Não-Não
4eaff9b6536e8c96;2016;6;Sim;Não;Não;Não;Não;Não;Não;4eaff9b6536e8c96-Sim-Não-Não-Não-Não-Não-Não
00f5063bfb117ea8;2016;6;Sim;Não;Não;Não;Não;Não;Não;00f5063bfb117ea8-Sim-Não-Não-Não-Não-Não-Não
717a9d077df83fa5;2016;6;Sim;Não;Não;Não;Não;Não;Não;717a9d077df83fa5-Sim-Não-Não-Não-Não-Não-Não
3e01321a9644d1ab;2016;6;Sim;Não;Não;Não;Não;Não;Não;3e01321a9644d1ab-Sim-Não-Não-Não-Não-Não-Não
76e42f54aa0e8014;2016;6;Sim;Não;Não;Não;Não;Não;Não;76e42f54aa0e8014-Sim-Não-Não-Não-Não-Não-Não
94dd6ecab36dadc4;2016;6;Sim;Não;Não;Não;Não;Não;Não;94dd6ecab36dadc4-Sim-Não-Não-Não-Não-Não-Não
af090923b4635bee;2016;7;Sim;Não;Não;Não;Não;Não;Não;af090923b4635bee-Sim-Não-Não-Não-Não-Não-Não
d91854102b4d5103;2016;8;Sim;Não;Não;Não;Não;Não;Não;d91854102b4d5103-Sim-Não-Não-Não-Não-Não-Não
6f2c25c1e23c9e3b;2016;8;Sim;Não;Não;Não;Não;Não;Não;6f2c25c1e23c9e3b-Sim-Não-Não-Não-Não-Não-Não
332e1fff4ff17c99;2016;8;Sim;Não;Não;Não;Não;Não;Não;332e1fff4ff17c99-Sim-Não-Não-Não-Não-Não-Não
a9d0f334aa96e5ec;2016;3;Sim;Não;Não;Não;Não;Não;Não;a9d0f334aa96e5ec-Sim-Não-Não-Não-Não-Não-Não
87fb835bb037725c;2016;3;Sim;Não;Não;Não;Não;Não;Não;87fb835bb037725c-Sim-Não-Não-Não-Não-Não-Não
19490f2e4291244a;2016;3;Sim;Não;Não;Não;Não;Não;Não;19490f2e4291244a-Sim-Não-Não-Não-Não-Não-Não
a620da19a57b5a71;2016;3;Sim;Não;Não;Não;Não;Não;Não;a620da19a57b5a71-Sim-Não-Não-Não-Não-Não-Não
0019be22deb39fb9;2016;3;Sim;Não;Não;Não;Não;Não;Não;0019be22deb39fb9-Sim-Não-Não-Não-Não-Não-Não
ddf81e358d364cea;2016;1;Sim;Não;Não;Não;Não;Não;Não;ddf81e358d364cea-Sim-Não-Não-Não-Não-Não-Não
803d64f016624f1b;2016;1;Sim;Não;Não;Não;Não;Não;Não;803d64f016624f1b-Sim-Não-Não-Não-Não-Não-Não
15b0ca9f0279db3e;2016;1;Sim;Não;Não;Não;Não;Não;Não;15b0ca9f0279db3e-Sim-Não-Não-Não-Não-Não-Não
bf7c6c31bb5a4f8d;2016;1;Sim;Não;Não;Não;Não;Não;Não;bf7c6c31bb5a4f8d-Sim-Não-Não-Não-Não-Não-Não
6ccfbe1b93ddf16d;2016;1;Sim;Não;Não;Não;Não;Não;Não;6ccfbe1b93ddf16d-Sim-Não-Não-Não-Não-Não-Não
a2cf048e98e3baa8;2016;1;Sim;Não;Não;Não;Não;Não;Não;a2cf048e98e3baa8-Sim-Não-Não-Não-Não-Não-Não
44b8821a920b6d4b;2016;1;Sim;Não;Não;Não;Não;Não;Não;44b8821a920b6d4b-Sim-Não-Não-Não-Não-Não-Não
55d4c861c2be7cd9;2016;2;Sim;Não;Não;Não;Não;Não;Não;55d4c861c2be7cd9-Sim-Não-Não-Não-Não-Não-Não
2374c1d8f8aca090;2016;3;Não;Sim;Não;Não;Não;Sim;Não;2374c1d8f8aca090-Não-Sim-Não-Não-Não-Sim-Não
e2dcd488c17eb6c2;2016;3;Sim;Não;Não;Não;Não;Não;Não;e2dcd488c17eb6c2-Sim-Não-Não-Não-Não-Não-Não
174fb8c8deb6e2d1;2016;3;Sim;Não;Não;Não;Não;Não;Não;174fb8c8deb6e2d1-Sim-Não-Não-Não-Não-Não-Não
16e7b2112f8d0e1f;2016;3;Sim;Não;Não;Não;Não;Não;Não;16e7b2112f8d0e1f-Sim-Não-Não-Não-Não-Não-Não
a9af0d4ff1c294e7;2016;6;Sim;Não;Não;Não;Não;Não;Não;a9af0d4ff1c294e7-Sim-Não-Não-Não-Não-Não-Não
b6a938296290fbde;2016;6;Sim;Não;Não;Não;Não;Não;Não;b6a938296290fbde-Sim-Não-Não-Não-Não-Não-Não
12112e93d9f62e97;2016;5;Sim;Não;Não;Não;Não;Não;Não;12112e93d9f62e97-Sim-Não-Não-Não-Não-Não-Não
0c10bbaf9fa1c374;2016;5;Sim;Não;Não;Não;Não;Não;Não;0c10bbaf9fa1c374-Sim-Não-Não-Não-Não-Não-Não
3fd99653d5c965ed;2016;6;Sim;Não;Não;Não;Não;Não;Não;3fd99653d5c965ed-Sim-Não-Não-Não-Não-Não-Não
c25ca151394a60dd;2016;5;Sim;Não;Não;Não;Não;Não;Não;c25ca151394a60dd-Sim-Não-Não-Não-Não-Não-Não
9c8b81f5d84baced;2016;7;Sim;Não;Não;Não;Não;Não;Não;9c8b81f5d84baced-Sim-Não-Não-Não-Não-Não-Não
5c138107abec2486;2016;7;Sim;Não;Não;Não;Não;Não;Não;5c138107abec2486-Sim-Não-Não-Não-Não-Não-Não
d66be61bccb8c6c0;2016;10;Sim;Não;Não;Não;Não;Não;Não;d66be61bccb8c6c0-Sim-Não-Não-Não-Não-Não-Não
cae468fdee470042;2016;9;Sim;Não;Não;Não;Não;Não;Não;cae468fdee470042-Sim-Não-Não-Não-Não-Não-Não
a83c886c4882ae08;2016;10;Sim;Não;Não;Não;Não;Não;Não;a83c886c4882ae08-Sim-Não-Não-Não-Não-Não-Não
5d36ec36b3431313;2016;1;Não;Não;Não;Não;Sim;Não;Não;5d36ec36b3431313-Não-Não-Não-Não-Sim-Não-Não
b97036a6ea94b558;2016;1;Sim;Não;Não;Não;Não;Não;Não;b97036a6ea94b558-Sim-Não-Não-Não-Não-Não-Não
2ea639762023d5a8;2016;1;Sim;Não;Não;Não;Não;Não;Não;2ea639762023d5a8-Sim-Não-Não-Não-Não-Não-Não
e2ddf0f21772d745;2016;1;Sim;Não;Não;Não;Não;Não;Não;e2ddf0f21772d745-Sim-Não-Não-Não-Não-Não-Não
7e370baf4c74ae52;2016;1;Sim;Não;Não;Não;Não;Não;Não;7e370baf4c74ae52-Sim-Não-Não-Não-Não-Não-Não
133ebe2fb0627fa3;2016;2;Sim;Não;Não;Não;Não;Não;Não;133ebe2fb0627fa3-Sim-Não-Não-Não-Não-Não-Não
dd75fbe83834826d;2016;2;Não;Sim;Não;Não;Não;Não;Não;dd75fbe83834826d-Não-Sim-Não-Não-Não-Não-Não
57498d4ce120a1e7;2016;2;Sim;Não;Não;Não;Não;Não;Não;57498d4ce120a1e7-Sim-Não-Não-Não-Não-Não-Não
