numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
a3c7d1c509d3b5e0;2021;8;Sim;Não;Não;Não;Não;Não;Não;a3c7d1c509d3b5e0-Sim-Não-Não-Não-Não-Não-Não
bb1b47cc175d73c3;2021;8;Sim;Não;Não;Não;Não;Não;Não;bb1b47cc175d73c3-Sim-Não-Não-Não-Não-Não-Não
eefab8dec69f2e3d;2021;6;Sim;Não;Não;Não;Não;Não;Não;eefab8dec69f2e3d-Sim-Não-Não-Não-Não-Não-Não
80520355cbb4e060;2021;2;Sim;Não;Não;Não;Não;Não;Não;80520355cbb4e060-Sim-Não-Não-Não-Não-Não-Não
73a5e27de1128814;2021;2;Sim;Não;Não;Não;Não;Não;Não;73a5e27de1128814-Sim-Não-Não-Não-Não-Não-Não
120bb76d9d6cd196;2021;5;Sim;Não;Não;Não;Não;Não;Não;120bb76d9d6cd196-Sim-Não-Não-Não-Não-Não-Não
bc78a5e05f172481;2021;5;Sim;Não;Não;Não;Não;Não;Não;bc78a5e05f172481-Sim-Não-Não-Não-Não-Não-Não
d4b67383c302b0a0;2021;5;Sim;Não;Não;Não;Não;Não;Não;d4b67383c302b0a0-Sim-Não-Não-Não-Não-Não-Não
11f275995b0e3077;2021;5;Sim;Não;Não;Não;Não;Não;Não;11f275995b0e3077-Sim-Não-Não-Não-Não-Não-Não
9e20451f6c949145;2021;10;Não;Não;Não;Não;Sim;Não;Não;9e20451f6c949145-Não-Não-Não-Não-Sim-Não-Não
ca5fa99df16fdd95;2021;10;Sim;Não;Não;Não;Não;Não;Não;ca5fa99df16fdd95-Sim-Não-Não-Não-Não-Não-Não
271648bc9ebdb3cf;2021;10;Sim;Não;Não;Não;Não;Não;Não;271648bc9ebdb3cf-Sim-Não-Não-Não-Não-Não-Não
67428bf419ee3dde;2021;10;Sim;Não;Não;Não;Não;Não;Não;67428bf419ee3dde-Sim-Não-Não-Não-Não-Não-Não
9f7a5c56a089c4b9;2021;10;Sim;Não;Não;Não;Não;Não;Não;9f7a5c56a089c4b9-Sim-Não-Não-Não-Não-Não-Não
b78e06fc6cc7ebd9;2021;10;Não;Não;Não;Não;Não;Sim;Não;b78e06fc6cc7ebd9-Não-Não-Não-Não-Não-Sim-Não
a42abfa9b4eb4256;2021;10;Sim;Não;Não;Não;Não;Não;Não;a42abfa9b4eb4256-Sim-Não-Não-Não-Não-Não-Não
0345e7e230499d3c;2021;1;Não;Sim;Não;Sim;Não;Sim;Não;0345e7e230499d3c-Não-Sim-Não-Sim-Não-Sim-Não
2435ed039dbf8766;2021;1;Sim;Não;Não;Não;Não;Não;Não;2435ed039dbf8766-Sim-Não-Não-Não-Não-Não-Não
68a679ba2b4edb24;2021;5;Sim;Não;Não;Não;Não;Não;Não;68a679ba2b4edb24-Sim-Não-Não-Não-Não-Não-Não
6ca29df04df6bf53;2021;2;Sim;Não;Não;Não;Não;Não;Não;6ca29df04df6bf53-Sim-Não-Não-Não-Não-Não-Não
ca9b6b48c502c8bc;2021;11;Sim;Não;Não;Não;Não;Não;Não;ca9b6b48c502c8bc-Sim-Não-Não-Não-Não-Não-Não
88ba47440ed251ec;2021;10;Sim;Não;Não;Não;Não;Não;Não;88ba47440ed251ec-Sim-Não-Não-Não-Não-Não-Não
5785e7e3365f8a5f;2021;10;Sim;Não;Não;Não;Não;Não;Não;5785e7e3365f8a5f-Sim-Não-Não-Não-Não-Não-Não
a4bd4cba0d3e6ae5;2021;10;Sim;Sim;Não;Não;Não;Não;Não;a4bd4cba0d3e6ae5-Sim-Sim-Não-Não-Não-Não-Não
2a7c22ecff09920f;2021;10;Não;Sim;Não;Sim;Não;Sim;Não;2a7c22ecff09920f-Não-Sim-Não-Sim-Não-Sim-Não
ad880622f82e3ab6;2021;10;Sim;Não;Não;Não;Não;Não;Não;ad880622f82e3ab6-Sim-Não-Não-Não-Não-Não-Não
dc1f48f05dd52c35;2021;7;Sim;Não;Não;Não;Não;Não;Não;dc1f48f05dd52c35-Sim-Não-Não-Não-Não-Não-Não
b17d4698baf9ddb2;2021;8;Sim;Não;Não;Não;Não;Não;Não;b17d4698baf9ddb2-Sim-Não-Não-Não-Não-Não-Não
7c4ce8348d533b66;2021;8;Sim;Não;Não;Não;Não;Não;Não;7c4ce8348d533b66-Sim-Não-Não-Não-Não-Não-Não
4b28d810352ba456;2021;8;Não;Não;Sim;Não;Sim;Não;Não;4b28d810352ba456-Não-Não-Sim-Não-Sim-Não-Não
b33e2cce7dd50700;2021;8;Sim;Não;Não;Não;Não;Não;Não;b33e2cce7dd50700-Sim-Não-Não-Não-Não-Não-Não
e47f4a07b749a050;2021;8;Sim;Não;Não;Não;Não;Não;Não;e47f4a07b749a050-Sim-Não-Não-Não-Não-Não-Não
2522a52b5bd4f884;2021;7;Sim;Não;Não;Não;Não;Não;Não;2522a52b5bd4f884-Sim-Não-Não-Não-Não-Não-Não
e8852159d06b7b50;2021;1;Sim;Não;Não;Não;Não;Não;Não;e8852159d06b7b50-Sim-Não-Não-Não-Não-Não-Não
0583e391e821961e;2021;1;Sim;Não;Não;Não;Não;Não;Não;0583e391e821961e-Sim-Não-Não-Não-Não-Não-Não
40c383190c358e62;2021;6;Sim;Não;Não;Não;Não;Não;Não;40c383190c358e62-Sim-Não-Não-Não-Não-Não-Não
4f3106b2ede6dfb9;2021;6;Sim;Não;Não;Não;Não;Não;Não;4f3106b2ede6dfb9-Sim-Não-Não-Não-Não-Não-Não
07185dcd40548952;2021;6;Sim;Não;Não;Não;Não;Não;Não;07185dcd40548952-Sim-Não-Não-Não-Não-Não-Não
82fcce949848f2df;2021;6;Sim;Não;Não;Não;Não;Não;Não;82fcce949848f2df-Sim-Não-Não-Não-Não-Não-Não
ab8d269c566cbe35;2021;6;Sim;Não;Não;Não;Não;Não;Não;ab8d269c566cbe35-Sim-Não-Não-Não-Não-Não-Não
ac54d79ab7d77df2;2021;5;Sim;Não;Não;Não;Não;Não;Não;ac54d79ab7d77df2-Sim-Não-Não-Não-Não-Não-Não
9751f89149d31b63;2021;5;Sim;Não;Não;Não;Não;Não;Não;9751f89149d31b63-Sim-Não-Não-Não-Não-Não-Não
b631aa4598346889;2021;4;Não;Sim;Não;Não;Não;Não;Não;b631aa4598346889-Não-Sim-Não-Não-Não-Não-Não
0bd60329c21838e1;2021;5;Sim;Não;Não;Não;Não;Não;Não;0bd60329c21838e1-Sim-Não-Não-Não-Não-Não-Não
3f58e67c79d6cf7c;2021;10;Sim;Não;Não;Não;Não;Não;Não;3f58e67c79d6cf7c-Sim-Não-Não-Não-Não-Não-Não
1104028e30b69233;2021;10;Sim;Não;Não;Não;Não;Não;Não;1104028e30b69233-Sim-Não-Não-Não-Não-Não-Não
2dde08731739a2ea;2021;10;Sim;Não;Não;Não;Não;Não;Não;2dde08731739a2ea-Sim-Não-Não-Não-Não-Não-Não
45b458b2753eff4f;2021;10;Sim;Não;Não;Não;Não;Não;Não;45b458b2753eff4f-Sim-Não-Não-Não-Não-Não-Não
f64c1cf0a7b7c71c;2021;4;Sim;Não;Não;Não;Não;Não;Não;f64c1cf0a7b7c71c-Sim-Não-Não-Não-Não-Não-Não
f90a75ce70200543;2021;1;Sim;Não;Não;Não;Não;Não;Não;f90a75ce70200543-Sim-Não-Não-Não-Não-Não-Não
f38f6e44e96a8d5c;2021;2;Sim;Não;Não;Não;Não;Não;Não;f38f6e44e96a8d5c-Sim-Não-Não-Não-Não-Não-Não
a0b7a61fb8daa57f;2021;1;Sim;Não;Não;Não;Não;Não;Não;a0b7a61fb8daa57f-Sim-Não-Não-Não-Não-Não-Não
055f9cf37919e018;2021;2;Sim;Não;Não;Não;Não;Não;Não;055f9cf37919e018-Sim-Não-Não-Não-Não-Não-Não
3b2e64c03a9d06bb;2021;8;Sim;Não;Não;Não;Não;Não;Não;3b2e64c03a9d06bb-Sim-Não-Não-Não-Não-Não-Não
f8093a67e1dcf875;2021;8;Sim;Não;Não;Não;Não;Não;Não;f8093a67e1dcf875-Sim-Não-Não-Não-Não-Não-Não
dface5a8b27dd6ce;2021;5;Sim;Não;Não;Não;Não;Não;Não;dface5a8b27dd6ce-Sim-Não-Não-Não-Não-Não-Não
8bc9988ed7c8bb24;2021;5;Sim;Não;Não;Não;Não;Não;Não;8bc9988ed7c8bb24-Sim-Não-Não-Não-Não-Não-Não
872f3355ec09bf18;2021;9;Sim;Não;Não;Não;Não;Não;Não;872f3355ec09bf18-Sim-Não-Não-Não-Não-Não-Não
071a07c3df62c3db;2021;9;Sim;Não;Não;Não;Não;Não;Não;071a07c3df62c3db-Sim-Não-Não-Não-Não-Não-Não
fc6f4a8c381359c2;2021;6;Sim;Não;Não;Não;Não;Não;Não;fc6f4a8c381359c2-Sim-Não-Não-Não-Não-Não-Não
ce34943c22342683;2021;6;Sim;Não;Não;Não;Não;Não;Não;ce34943c22342683-Sim-Não-Não-Não-Não-Não-Não
992f4e2bb0ffd4f7;2021;12;Sim;Não;Não;Não;Não;Não;Não;992f4e2bb0ffd4f7-Sim-Não-Não-Não-Não-Não-Não
17467c637ddcd0bc;2021;12;Sim;Não;Não;Não;Não;Não;Não;17467c637ddcd0bc-Sim-Não-Não-Não-Não-Não-Não
672a99d9a1d1c1e1;2021;3;Não;Sim;Não;Sim;Não;Não;Não;672a99d9a1d1c1e1-Não-Sim-Não-Sim-Não-Não-Não
40a5ea5d83ec316b;2021;3;Sim;Não;Não;Não;Não;Não;Não;40a5ea5d83ec316b-Sim-Não-Não-Não-Não-Não-Não
ee5853d6c2cd1080;2021;4;Sim;Não;Não;Não;Não;Não;Não;ee5853d6c2cd1080-Sim-Não-Não-Não-Não-Não-Não
17b0909e010afd4a;2021;4;Sim;Não;Não;Não;Não;Não;Não;17b0909e010afd4a-Sim-Não-Não-Não-Não-Não-Não
aebb1386159abc2a;2021;4;Sim;Não;Não;Não;Não;Não;Não;aebb1386159abc2a-Sim-Não-Não-Não-Não-Não-Não
672520fbb848329b;2021;4;Sim;Não;Não;Não;Não;Não;Não;672520fbb848329b-Sim-Não-Não-Não-Não-Não-Não
b17cdbad61f2a1dc;2021;8;Sim;Não;Não;Não;Não;Não;Não;b17cdbad61f2a1dc-Sim-Não-Não-Não-Não-Não-Não
9f7e9a543a6ebe07;2021;8;Sim;Não;Não;Não;Não;Não;Não;9f7e9a543a6ebe07-Sim-Não-Não-Não-Não-Não-Não
1df0ede374f1d2f9;2021;8;Sim;Não;Não;Não;Não;Não;Não;1df0ede374f1d2f9-Sim-Não-Não-Não-Não-Não-Não
b60731f6a8bcdd74;2021;8;Sim;Não;Não;Não;Não;Não;Não;b60731f6a8bcdd74-Sim-Não-Não-Não-Não-Não-Não
bf4798ee6b1800e9;2021;8;Sim;Não;Não;Não;Não;Não;Não;bf4798ee6b1800e9-Sim-Não-Não-Não-Não-Não-Não
a647c3930f99ca1b;2021;8;Sim;Não;Não;Não;Não;Não;Não;a647c3930f99ca1b-Sim-Não-Não-Não-Não-Não-Não
03c79d21f932a6b9;2021;10;Sim;Não;Não;Não;Não;Não;Não;03c79d21f932a6b9-Sim-Não-Não-Não-Não-Não-Não
fa6c2187955b49e1;2021;10;Sim;Não;Não;Não;Não;Não;Não;fa6c2187955b49e1-Sim-Não-Não-Não-Não-Não-Não
75f11ee69a1ffc60;2021;5;Sim;Não;Não;Não;Não;Não;Não;75f11ee69a1ffc60-Sim-Não-Não-Não-Não-Não-Não
aa0c35c56c1ee27a;2021;5;Não;Sim;Não;Não;Não;Não;Não;aa0c35c56c1ee27a-Não-Sim-Não-Não-Não-Não-Não
1761997e17d5e8d4;2021;6;Sim;Não;Não;Não;Não;Não;Não;1761997e17d5e8d4-Sim-Não-Não-Não-Não-Não-Não
fa8c88445c28663e;2021;6;Sim;Não;Não;Não;Não;Não;Não;fa8c88445c28663e-Sim-Não-Não-Não-Não-Não-Não
36583c0189a8e56a;2021;6;Sim;Não;Não;Não;Não;Não;Não;36583c0189a8e56a-Sim-Não-Não-Não-Não-Não-Não
388bebfebffcf069;2021;6;Não;Não;Não;Não;Sim;Não;Não;388bebfebffcf069-Não-Não-Não-Não-Sim-Não-Não
a73cf203cba96511;2021;4;Sim;Não;Não;Não;Não;Não;Não;a73cf203cba96511-Sim-Não-Não-Não-Não-Não-Não
50839047f1ea5bc7;2021;4;Sim;Não;Não;Não;Não;Não;Não;50839047f1ea5bc7-Sim-Não-Não-Não-Não-Não-Não
1c376cb21e241eef;2021;4;Sim;Não;Não;Não;Não;Não;Não;1c376cb21e241eef-Sim-Não-Não-Não-Não-Não-Não
e085a5e32525c731;2021;10;Sim;Não;Não;Não;Não;Não;Não;e085a5e32525c731-Sim-Não-Não-Não-Não-Não-Não
d132aceca804f4cf;2021;10;Sim;Não;Não;Não;Não;Não;Não;d132aceca804f4cf-Sim-Não-Não-Não-Não-Não-Não
3e8035537bf867d5;2021;10;Sim;Não;Não;Não;Não;Não;Não;3e8035537bf867d5-Sim-Não-Não-Não-Não-Não-Não
89fc9cf044a27451;2021;10;Sim;Não;Não;Não;Não;Não;Não;89fc9cf044a27451-Sim-Não-Não-Não-Não-Não-Não
614a47b9d7cd63d9;2021;10;Sim;Não;Não;Não;Não;Não;Não;614a47b9d7cd63d9-Sim-Não-Não-Não-Não-Não-Não
