numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
b9558fe663fffe9f;2023;11;Sim;Não;Não;Não;Não;Não;Não;b9558fe663fffe9f-Sim-Não-Não-Não-Não-Não-Não
81f3d3a08b7b513d;2023;11;Não;Não;Não;Sim;Não;Não;Não;81f3d3a08b7b513d-Não-Não-Não-Sim-Não-Não-Não
aafadf9950bf62f5;2023;11;Não;Não;Não;Não;Sim;Não;Não;aafadf9950bf62f5-Não-Não-Não-Não-Sim-Não-Não
ec73a5f5dd888eb6;2023;2;Sim;Não;Não;Não;Não;Não;Não;ec73a5f5dd888eb6-Sim-Não-Não-Não-Não-Não-Não
5b963e36220399ce;2023;6;Sim;Não;Não;Não;Não;Não;Não;5b963e36220399ce-Sim-Não-Não-Não-Não-Não-Não
be1b99d750005e20;2023;6;Sim;Não;Não;Não;Não;Não;Não;be1b99d750005e20-Sim-Não-Não-Não-Não-Não-Não
4026b573ae3c1c2c;2023;6;Sim;Não;Não;Não;Não;Não;Não;4026b573ae3c1c2c-Sim-Não-Não-Não-Não-Não-Não
6d9c56fc83e10f32;2023;6;Não;Não;Não;Sim;Não;Não;Não;6d9c56fc83e10f32-Não-Não-Não-Sim-Não-Não-Não
4acd2079e531581d;2023;6;Sim;Não;Não;Não;Não;Não;Não;4acd2079e531581d-Sim-Não-Não-Não-Não-Não-Não
8702e2c1aeca36f2;2023;6;Sim;Não;Não;Não;Não;Não;Não;8702e2c1aeca36f2-Sim-Não-Não-Não-Não-Não-Não
a7dfc642b85c03c9;2023;5;Sim;Não;Não;Não;Não;Não;Não;a7dfc642b85c03c9-Sim-Não-Não-Não-Não-Não-Não
6a5c4a86cb5e909e;2023;7;Sim;Não;Não;Não;Não;Não;Não;6a5c4a86cb5e909e-Sim-Não-Não-Não-Não-Não-Não
1f10dd58671c9e88;2023;7;Não;Não;Não;Não;Sim;Não;Não;1f10dd58671c9e88-Não-Não-Não-Não-Sim-Não-Não
f19067b5696d6955;2023;7;Sim;Não;Não;Não;Não;Não;Não;f19067b5696d6955-Sim-Não-Não-Não-Não-Não-Não
46ecf83410e42ecb;2023;10;Sim;Não;Não;Não;Não;Não;Não;46ecf83410e42ecb-Sim-Não-Não-Não-Não-Não-Não
0d440563fea67756;2023;10;Sim;Não;Não;Não;Não;Não;Não;0d440563fea67756-Sim-Não-Não-Não-Não-Não-Não
e3a730a08354b5c0;2023;12;Sim;Não;Não;Não;Não;Não;Não;e3a730a08354b5c0-Sim-Não-Não-Não-Não-Não-Não
befc3e6f8250b150;2023;7;Sim;Não;Não;Não;Não;Não;Não;befc3e6f8250b150-Sim-Não-Não-Não-Não-Não-Não
0553efa1996d0594;2023;7;Sim;Não;Não;Não;Não;Não;Não;0553efa1996d0594-Sim-Não-Não-Não-Não-Não-Não
ad2a1ea9a4a54c58;2023;7;Sim;Não;Não;Não;Não;Não;Não;ad2a1ea9a4a54c58-Sim-Não-Não-Não-Não-Não-Não
1e1c0d2167bf5287;2023;5;Não;Não;Não;Sim;Não;Não;Não;1e1c0d2167bf5287-Não-Não-Não-Sim-Não-Não-Não
69bd6a101e1d0755;2023;8;Sim;Não;Não;Não;Não;Não;Não;69bd6a101e1d0755-Sim-Não-Não-Não-Não-Não-Não
e29693e697e979c4;2023;8;Sim;Não;Não;Não;Não;Não;Não;e29693e697e979c4-Sim-Não-Não-Não-Não-Não-Não
cad77c9a5c0c9046;2023;8;Sim;Não;Não;Não;Não;Não;Não;cad77c9a5c0c9046-Sim-Não-Não-Não-Não-Não-Não
2dda1b6d0c997960;2023;6;Sim;Não;Não;Não;Não;Não;Não;2dda1b6d0c997960-Sim-Não-Não-Não-Não-Não-Não
e18326c403aece7e;2023;7;Sim;Não;Não;Não;Não;Não;Não;e18326c403aece7e-Sim-Não-Não-Não-Não-Não-Não
9370aa65efda5ccc;2023;9;Sim;Não;Não;Não;Não;Não;Não;9370aa65efda5ccc-Sim-Não-Não-Não-Não-Não-Não
9d8ef2e224b7fb34;2023;9;Sim;Não;Não;Não;Não;Não;Não;9d8ef2e224b7fb34-Sim-Não-Não-Não-Não-Não-Não
961dd40692d79400;2023;9;Sim;Não;Não;Não;Não;Não;Não;961dd40692d79400-Sim-Não-Não-Não-Não-Não-Não
7d949f9bdc9b143c;2023;9;Sim;Não;Não;Não;Não;Não;Não;7d949f9bdc9b143c-Sim-Não-Não-Não-Não-Não-Não
410d37b317573608;2023;9;Sim;Não;Não;Não;Não;Não;Não;410d37b317573608-Sim-Não-Não-Não-Não-Não-Não
5ffe12eabbce9720;2023;9;Sim;Não;Não;Não;Não;Não;Não;5ffe12eabbce9720-Sim-Não-Não-Não-Não-Não-Não
ac6a16b5e92b1cc2;2023;1;Sim;Não;Não;Não;Não;Não;Não;ac6a16b5e92b1cc2-Sim-Não-Não-Não-Não-Não-Não
17f2568fe14e7bb0;2023;1;Sim;Não;Não;Não;Não;Não;Não;17f2568fe14e7bb0-Sim-Não-Não-Não-Não-Não-Não
33e9134aec91faea;2023;7;Sim;Não;Não;Não;Não;Não;Não;33e9134aec91faea-Sim-Não-Não-Não-Não-Não-Não
ce389166205409bd;2023;11;Sim;Não;Não;Não;Não;Não;Não;ce389166205409bd-Sim-Não-Não-Não-Não-Não-Não
0bc61a48ed2d0459;2023;11;Sim;Não;Não;Não;Não;Não;Não;0bc61a48ed2d0459-Sim-Não-Não-Não-Não-Não-Não
fc9209d0d585543c;2023;11;Sim;Não;Não;Não;Não;Não;Não;fc9209d0d585543c-Sim-Não-Não-Não-Não-Não-Não
44b4588ad3783e28;2023;4;Sim;Não;Não;Não;Não;Não;Não;44b4588ad3783e28-Sim-Não-Não-Não-Não-Não-Não
2b8e6ca4587edf79;2023;4;Sim;Não;Não;Não;Não;Não;Não;2b8e6ca4587edf79-Sim-Não-Não-Não-Não-Não-Não
e34b989e2b5c23f1;2023;7;Não;Não;Não;Sim;Sim;Não;Não;e34b989e2b5c23f1-Não-Não-Não-Sim-Sim-Não-Não
c936a638df314242;2023;7;Sim;Não;Não;Não;Não;Não;Não;c936a638df314242-Sim-Não-Não-Não-Não-Não-Não
978f32e0f87d686a;2023;7;Sim;Não;Não;Não;Não;Não;Não;978f32e0f87d686a-Sim-Não-Não-Não-Não-Não-Não
d1bef251e7ba4322;2023;7;Sim;Não;Não;Não;Não;Não;Não;d1bef251e7ba4322-Sim-Não-Não-Não-Não-Não-Não
40aa481ee4162482;2023;7;Sim;Não;Não;Não;Não;Não;Não;40aa481ee4162482-Sim-Não-Não-Não-Não-Não-Não
c7821afaa7b6ebf7;2023;7;Sim;Não;Não;Não;Não;Não;Não;c7821afaa7b6ebf7-Sim-Não-Não-Não-Não-Não-Não
ddfb81e6aa823d13;2023;7;Sim;Não;Não;Não;Não;Não;Não;ddfb81e6aa823d13-Sim-Não-Não-Não-Não-Não-Não
8acfcc0bde3c178d;2023;7;Sim;Não;Não;Não;Não;Não;Não;8acfcc0bde3c178d-Sim-Não-Não-Não-Não-Não-Não
607fd81a8388e782;2023;7;Sim;Não;Não;Não;Não;Não;Não;607fd81a8388e782-Sim-Não-Não-Não-Não-Não-Não
eaef9460cb83074d;2023;12;Sim;Não;Não;Não;Não;Não;Não;eaef9460cb83074d-Sim-Não-Não-Não-Não-Não-Não
