numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
5b3ec6824d58b37f;2020;3;Sim;Não;Não;Não;Não;Não;Não;5b3ec6824d58b37f-Sim-Não-Não-Não-Não-Não-Não
c01fb3714a43c0f7;2020;3;Sim;Não;Não;Não;Não;Não;Não;c01fb3714a43c0f7-Sim-Não-Não-Não-Não-Não-Não
a17ba473ea89c6f5;2020;10;Não;Não;Não;Sim;Não;Não;Não;a17ba473ea89c6f5-Não-Não-Não-Sim-Não-Não-Não
e12887aee20cc3d0;2020;10;Sim;Não;Não;Não;Não;Não;Não;e12887aee20cc3d0-Sim-Não-Não-Não-Não-Não-Não
21e12316bdf9d8b5;2020;8;Sim;Não;Não;Não;Não;Não;Não;21e12316bdf9d8b5-Sim-Não-Não-Não-Não-Não-Não
5a3e2fedec9668c0;2020;6;Sim;Não;Não;Não;Não;Não;Não;5a3e2fedec9668c0-Sim-Não-Não-Não-Não-Não-Não
74cf3d784ddd9078;2020;6;Sim;Não;Não;Não;Não;Não;Não;74cf3d784ddd9078-Sim-Não-Não-Não-Não-Não-Não
bbeda3c96d5ea410;2020;2;Sim;Não;Não;Não;Não;Não;Não;bbeda3c96d5ea410-Sim-Não-Não-Não-Não-Não-Não
510216ca35e6baf2;2020;11;Sim;Não;Não;Não;Não;Não;Não;510216ca35e6baf2-Sim-Não-Não-Não-Não-Não-Não
0259164a00480dfb;2020;11;Sim;Não;Não;Não;Não;Não;Não;0259164a00480dfb-Sim-Não-Não-Não-Não-Não-Não
a6a166df2c51c512;2020;11;Sim;Não;Não;Não;Não;Não;Não;a6a166df2c51c512-Sim-Não-Não-Não-Não-Não-Não
35b23c32960d9fa1;2020;7;Sim;Não;Não;Não;Não;Não;Não;35b23c32960d9fa1-Sim-Não-Não-Não-Não-Não-Não
926839a2015a0627;2020;9;Sim;Não;Não;Não;Não;Não;Não;926839a2015a0627-Sim-Não-Não-Não-Não-Não-Não
c004580cddcd2de1;2020;9;Sim;Não;Não;Não;Não;Não;Não;c004580cddcd2de1-Sim-Não-Não-Não-Não-Não-Não
6f22f12c5bd973b5;2020;8;Sim;Não;Não;Não;Não;Não;Não;6f22f12c5bd973b5-Sim-Não-Não-Não-Não-Não-Não
abdd6c8abbd0d64b;2020;11;Sim;Não;Não;Não;Não;Não;Não;abdd6c8abbd0d64b-Sim-Não-Não-Não-Não-Não-Não
54507a348c0a5459;2020;11;Sim;Não;Não;Não;Não;Não;Não;54507a348c0a5459-Sim-Não-Não-Não-Não-Não-Não
