numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
19138f28ce8b5880;2013;6;Sim;Não;Não;Não;Não;Não;Não;19138f28ce8b5880-Sim-Não-Não-Não-Não-Não-Não
d0a3076f12664fa3;2013;6;Não;Não;Não;Sim;Não;Sim;Sim;d0a3076f12664fa3-Não-Não-Não-Sim-Não-Sim-Sim
eaceaf0b3dc7c4e0;2013;6;Sim;Não;Não;Não;Não;Não;Não;eaceaf0b3dc7c4e0-Sim-Não-Não-Não-Não-Não-Não
3c0ee5e30347cc05;2013;6;Sim;Não;Não;Não;Não;Não;Não;3c0ee5e30347cc05-Sim-Não-Não-Não-Não-Não-Não
2c9f592015615599;2013;6;Sim;Não;Não;Não;Não;Não;Não;2c9f592015615599-Sim-Não-Não-Não-Não-Não-Não
1fc51919e8be2a40;2013;6;Sim;Não;Não;Não;Não;Não;Não;1fc51919e8be2a40-Sim-Não-Não-Não-Não-Não-Não
48551b231be108ce;2013;6;Sim;Não;Não;Não;Não;Não;Não;48551b231be108ce-Sim-Não-Não-Não-Não-Não-Não
560f3720a7c09be6;2013;6;Sim;Não;Não;Não;Não;Não;Não;560f3720a7c09be6-Sim-Não-Não-Não-Não-Não-Não
13e6e177d9623aed;2013;8;Sim;Não;Não;Não;Não;Não;Não;13e6e177d9623aed-Sim-Não-Não-Não-Não-Não-Não
6d9043f79dcc1285;2013;8;Não;Não;Não;Sim;Não;Não;Não;6d9043f79dcc1285-Não-Não-Não-Sim-Não-Não-Não
088e105bddfcf5cd;2013;8;Sim;Não;Não;Não;Não;Não;Não;088e105bddfcf5cd-Sim-Não-Não-Não-Não-Não-Não
59367163575bc73e;2013;8;Sim;Não;Não;Não;Não;Não;Não;59367163575bc73e-Sim-Não-Não-Não-Não-Não-Não
c7f6fe7c76b04d5f;2013;8;Não;Não;Não;Não;Sim;Não;Não;c7f6fe7c76b04d5f-Não-Não-Não-Não-Sim-Não-Não
23174aed4210f049;2013;8;Não;Não;Não;Não;Sim;Não;Não;23174aed4210f049-Não-Não-Não-Não-Sim-Não-Não
809712cfc5ac5a42;2013;8;Sim;Não;Não;Não;Não;Não;Não;809712cfc5ac5a42-Sim-Não-Não-Não-Não-Não-Não
2a1d1fd2ce97d26e;2013;8;Sim;Não;Não;Não;Não;Não;Não;2a1d1fd2ce97d26e-Sim-Não-Não-Não-Não-Não-Não
819fb183b32a0a19;2013;8;Sim;Não;Não;Não;Não;Não;Não;819fb183b32a0a19-Sim-Não-Não-Não-Não-Não-Não
a4f7bf6504dd4ab5;2013;8;Não;Não;Não;Não;Não;Não;Sim;a4f7bf6504dd4ab5-Não-Não-Não-Não-Não-Não-Sim
8e1c51692c0f3b9f;2013;4;Sim;Não;Não;Não;Não;Não;Não;8e1c51692c0f3b9f-Sim-Não-Não-Não-Não-Não-Não
a0c16c5a949df598;2013;4;Sim;Não;Não;Não;Não;Não;Não;a0c16c5a949df598-Sim-Não-Não-Não-Não-Não-Não
be53108e41e8b60f;2013;4;Sim;Não;Não;Não;Não;Não;Não;be53108e41e8b60f-Sim-Não-Não-Não-Não-Não-Não
68a8b20f8dcd59e2;2013;4;Sim;Não;Não;Não;Não;Não;Não;68a8b20f8dcd59e2-Sim-Não-Não-Não-Não-Não-Não
cbff2d8749622691;2013;4;Sim;Não;Não;Não;Não;Não;Não;cbff2d8749622691-Sim-Não-Não-Não-Não-Não-Não
1186a39f0bc95d37;2013;4;Sim;Não;Não;Não;Não;Não;Não;1186a39f0bc95d37-Sim-Não-Não-Não-Não-Não-Não
c2fecd5fe789c7da;2013;4;Sim;Não;Não;Não;Não;Não;Não;c2fecd5fe789c7da-Sim-Não-Não-Não-Não-Não-Não
36269aac51219ee4;2013;10;Não;Não;Não;Sim;Não;Não;Não;36269aac51219ee4-Não-Não-Não-Sim-Não-Não-Não
5d530cf39d1c5d32;2013;9;Sim;Não;Não;Não;Não;Não;Não;5d530cf39d1c5d32-Sim-Não-Não-Não-Não-Não-Não
05418bb80c8a4e7b;2013;9;Sim;Não;Não;Não;Não;Não;Não;05418bb80c8a4e7b-Sim-Não-Não-Não-Não-Não-Não
f1613cc66a9ae45c;2013;10;Sim;Não;Não;Não;Não;Não;Não;f1613cc66a9ae45c-Sim-Não-Não-Não-Não-Não-Não
df04d2c2c8730770;2013;9;Sim;Não;Não;Não;Não;Não;Não;df04d2c2c8730770-Sim-Não-Não-Não-Não-Não-Não
67c5feffda382ad8;2013;10;Não;Não;Não;Sim;Não;Não;Não;67c5feffda382ad8-Não-Não-Não-Sim-Não-Não-Não
2ece11c58837adca;2013;9;Sim;Não;Não;Não;Não;Não;Não;2ece11c58837adca-Sim-Não-Não-Não-Não-Não-Não
842ff283c52ddc6e;2013;9;Sim;Não;Não;Não;Não;Não;Não;842ff283c52ddc6e-Sim-Não-Não-Não-Não-Não-Não
