numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
0236e9b284d1952c;2022;5;Sim;Não;Não;Não;Não;Não;Não;0236e9b284d1952c-Sim-Não-Não-Não-Não-Não-Não
75a885a88dda9b07;2022;5;Não;Não;Não;Não;Sim;Não;Não;75a885a88dda9b07-Não-Não-Não-Não-Sim-Não-Não
57cc5b512fc91e9e;2022;5;Sim;Não;Não;Não;Não;Não;Não;57cc5b512fc91e9e-Sim-Não-Não-Não-Não-Não-Não
840e337334c8f6f0;2022;6;Sim;Não;Não;Não;Não;Não;Não;840e337334c8f6f0-Sim-Não-Não-Não-Não-Não-Não
0958f7208bf8731b;2022;5;Sim;Não;Não;Não;Não;Não;Não;0958f7208bf8731b-Sim-Não-Não-Não-Não-Não-Não
4f573e77c75ea38e;2022;5;Sim;Não;Não;Não;Não;Não;Não;4f573e77c75ea38e-Sim-Não-Não-Não-Não-Não-Não
981aded2fa62ba71;2022;1;Sim;Não;Não;Não;Não;Não;Não;981aded2fa62ba71-Sim-Não-Não-Não-Não-Não-Não
f279b5f30e689d56;2022;9;Sim;Não;Não;Não;Não;Não;Não;f279b5f30e689d56-Sim-Não-Não-Não-Não-Não-Não
e980c4f4a3af349b;2022;9;Sim;Não;Não;Não;Não;Não;Não;e980c4f4a3af349b-Sim-Não-Não-Não-Não-Não-Não
748356b47956746f;2022;9;Sim;Não;Não;Não;Não;Não;Não;748356b47956746f-Sim-Não-Não-Não-Não-Não-Não
02ce42997673eaf0;2022;3;Sim;Não;Não;Não;Não;Não;Não;02ce42997673eaf0-Sim-Não-Não-Não-Não-Não-Não
6ef270de1ecad0cc;2022;3;Sim;Não;Não;Não;Não;Não;Não;6ef270de1ecad0cc-Sim-Não-Não-Não-Não-Não-Não
dd597c13c9e2488b;2022;3;Sim;Não;Não;Não;Não;Não;Não;dd597c13c9e2488b-Sim-Não-Não-Não-Não-Não-Não
9f9b4997d032a619;2022;10;Sim;Não;Não;Não;Não;Não;Não;9f9b4997d032a619-Sim-Não-Não-Não-Não-Não-Não
4905dd9f76f07634;2022;10;Sim;Não;Não;Não;Não;Não;Não;4905dd9f76f07634-Sim-Não-Não-Não-Não-Não-Não
bd7205ce835fad2f;2022;10;Sim;Não;Não;Não;Não;Não;Não;bd7205ce835fad2f-Sim-Não-Não-Não-Não-Não-Não
a33a8aa5206cda80;2022;10;Sim;Não;Não;Não;Não;Não;Não;a33a8aa5206cda80-Sim-Não-Não-Não-Não-Não-Não
ee65df6822284f73;2022;10;Sim;Não;Não;Não;Não;Não;Não;ee65df6822284f73-Sim-Não-Não-Não-Não-Não-Não
6bbd4327ca52c290;2022;10;Sim;Não;Não;Não;Não;Não;Não;6bbd4327ca52c290-Sim-Não-Não-Não-Não-Não-Não
c73c0b4294517708;2022;10;Sim;Não;Não;Não;Não;Não;Não;c73c0b4294517708-Sim-Não-Não-Não-Não-Não-Não
ec077de85df5efd5;2022;10;Não;Não;Não;Sim;Não;Sim;Não;ec077de85df5efd5-Não-Não-Não-Sim-Não-Sim-Não
c7b6c5e92daed9dc;2022;8;Sim;Não;Não;Não;Não;Não;Não;c7b6c5e92daed9dc-Sim-Não-Não-Não-Não-Não-Não
c8465751e44070cf;2022;8;Não;Não;Não;Sim;Sim;Não;Sim;c8465751e44070cf-Não-Não-Não-Sim-Sim-Não-Sim
af609c122bb3fe2f;2022;8;Sim;Não;Não;Não;Não;Não;Não;af609c122bb3fe2f-Sim-Não-Não-Não-Não-Não-Não
7f0869adaa92facb;2022;8;Sim;Não;Não;Não;Não;Não;Não;7f0869adaa92facb-Sim-Não-Não-Não-Não-Não-Não
fc826acc4431086e;2022;7;Sim;Não;Não;Não;Não;Não;Não;fc826acc4431086e-Sim-Não-Não-Não-Não-Não-Não
7674673f46ad3c2c;2022;7;Sim;Não;Não;Não;Não;Não;Não;7674673f46ad3c2c-Sim-Não-Não-Não-Não-Não-Não
7364dfe1affe1c1f;2022;7;Sim;Não;Não;Não;Não;Não;Não;7364dfe1affe1c1f-Sim-Não-Não-Não-Não-Não-Não
0c1cedbdf4f11084;2022;7;Não;Não;Não;Sim;Não;Não;Não;0c1cedbdf4f11084-Não-Não-Não-Sim-Não-Não-Não
d6098db98befb65b;2022;6;Sim;Não;Não;Não;Não;Não;Não;d6098db98befb65b-Sim-Não-Não-Não-Não-Não-Não
a4dd03719a1d2f7f;2022;9;Sim;Não;Não;Não;Não;Não;Não;a4dd03719a1d2f7f-Sim-Não-Não-Não-Não-Não-Não
564160cd728bfa25;2022;10;Sim;Não;Não;Não;Não;Não;Não;564160cd728bfa25-Sim-Não-Não-Não-Não-Não-Não
3981750b97a8d502;2022;10;Sim;Não;Não;Não;Não;Não;Não;3981750b97a8d502-Sim-Não-Não-Não-Não-Não-Não
a591d6363bfcbf76;2022;10;Sim;Não;Não;Não;Não;Não;Não;a591d6363bfcbf76-Sim-Não-Não-Não-Não-Não-Não
0e9d16de200c09e4;2022;10;Não;Sim;Não;Sim;Não;Sim;Não;0e9d16de200c09e4-Não-Sim-Não-Sim-Não-Sim-Não
74ccc6863a2357c6;2022;10;Sim;Não;Não;Não;Não;Não;Não;74ccc6863a2357c6-Sim-Não-Não-Não-Não-Não-Não
c4d3687aa05c6210;2022;10;Sim;Não;Não;Não;Não;Não;Não;c4d3687aa05c6210-Sim-Não-Não-Não-Não-Não-Não
f430f212cd8143d9;2022;3;Sim;Não;Não;Não;Não;Não;Não;f430f212cd8143d9-Sim-Não-Não-Não-Não-Não-Não
fafa2e6f61988234;2022;3;Sim;Não;Não;Não;Não;Não;Não;fafa2e6f61988234-Sim-Não-Não-Não-Não-Não-Não
ffcefb5ef8acbcc5;2022;4;Sim;Não;Não;Não;Não;Não;Não;ffcefb5ef8acbcc5-Sim-Não-Não-Não-Não-Não-Não
d0855cc81795426c;2022;4;Não;Não;Sim;Não;Não;Não;Não;d0855cc81795426c-Não-Não-Sim-Não-Não-Não-Não
f98eabd3ca75e74a;2022;4;Não;Não;Não;Não;Não;Sim;Não;f98eabd3ca75e74a-Não-Não-Não-Não-Não-Sim-Não
a8eb69d348d19672;2022;8;Sim;Não;Não;Não;Não;Não;Não;a8eb69d348d19672-Sim-Não-Não-Não-Não-Não-Não
45e51909132b7983;2022;8;Não;Não;Não;Sim;Não;Sim;Não;45e51909132b7983-Não-Não-Não-Sim-Não-Sim-Não
ad6495e7de27c8fa;2022;8;Sim;Não;Não;Não;Não;Não;Não;ad6495e7de27c8fa-Sim-Não-Não-Não-Não-Não-Não
640f197937ec9c3a;2022;8;Sim;Não;Não;Não;Não;Não;Não;640f197937ec9c3a-Sim-Não-Não-Não-Não-Não-Não
30f568623c8de375;2022;6;Sim;Não;Não;Não;Não;Não;Não;30f568623c8de375-Sim-Não-Não-Não-Não-Não-Não
ee3aee4d6f437ad6;2022;8;Sim;Não;Não;Não;Não;Não;Não;ee3aee4d6f437ad6-Sim-Não-Não-Não-Não-Não-Não
0d941f2588b1ad5c;2022;12;Sim;Não;Não;Não;Não;Não;Não;0d941f2588b1ad5c-Sim-Não-Não-Não-Não-Não-Não
e090f306aed6b947;2022;4;Sim;Não;Não;Não;Não;Não;Não;e090f306aed6b947-Sim-Não-Não-Não-Não-Não-Não
020721cc7bfbdaad;2022;11;Sim;Não;Não;Não;Não;Não;Não;020721cc7bfbdaad-Sim-Não-Não-Não-Não-Não-Não
48640003dcd4a1dc;2022;11;Sim;Não;Não;Não;Não;Não;Não;48640003dcd4a1dc-Sim-Não-Não-Não-Não-Não-Não
6e6e07f435d45f7e;2022;11;Sim;Não;Não;Não;Não;Não;Não;6e6e07f435d45f7e-Sim-Não-Não-Não-Não-Não-Não
9100a499268e3610;2022;6;Sim;Não;Não;Não;Não;Não;Não;9100a499268e3610-Sim-Não-Não-Não-Não-Não-Não
271362ba56df7f47;2022;6;Sim;Não;Não;Não;Não;Não;Não;271362ba56df7f47-Sim-Não-Não-Não-Não-Não-Não
0cbffda0d49a0581;2022;3;Sim;Não;Não;Não;Não;Não;Não;0cbffda0d49a0581-Sim-Não-Não-Não-Não-Não-Não
92bad0987d1c6039;2022;3;Sim;Não;Não;Não;Não;Não;Não;92bad0987d1c6039-Sim-Não-Não-Não-Não-Não-Não
020b5a6bc6c8c809;2022;3;Não;Não;Não;Não;Sim;Não;Não;020b5a6bc6c8c809-Não-Não-Não-Não-Sim-Não-Não
10264ff1c477a7cd;2022;3;Sim;Não;Não;Não;Não;Não;Não;10264ff1c477a7cd-Sim-Não-Não-Não-Não-Não-Não
3f393582900cde13;2022;6;Sim;Não;Não;Não;Não;Não;Não;3f393582900cde13-Sim-Não-Não-Não-Não-Não-Não
6ea8751bce0eb76d;2022;4;Sim;Não;Não;Não;Não;Não;Não;6ea8751bce0eb76d-Sim-Não-Não-Não-Não-Não-Não
8d020a09b8680027;2022;4;Sim;Não;Não;Não;Não;Não;Não;8d020a09b8680027-Sim-Não-Não-Não-Não-Não-Não
b14047f883cb0e0f;2022;4;Sim;Não;Não;Não;Não;Não;Não;b14047f883cb0e0f-Sim-Não-Não-Não-Não-Não-Não
4faccf9899064b93;2022;4;Sim;Não;Não;Não;Não;Não;Não;4faccf9899064b93-Sim-Não-Não-Não-Não-Não-Não
a62f99af707e3686;2022;4;Sim;Não;Não;Não;Não;Não;Não;a62f99af707e3686-Sim-Não-Não-Não-Não-Não-Não
224a6e1637a0c737;2022;11;Sim;Não;Não;Não;Não;Não;Não;224a6e1637a0c737-Sim-Não-Não-Não-Não-Não-Não
12569703daaac9f5;2022;11;Sim;Não;Não;Não;Não;Não;Não;12569703daaac9f5-Sim-Não-Não-Não-Não-Não-Não
52b0ef9277f566eb;2022;7;Sim;Não;Não;Não;Não;Não;Não;52b0ef9277f566eb-Sim-Não-Não-Não-Não-Não-Não
2502cf0d2432d55a;2022;6;Sim;Não;Não;Não;Não;Não;Não;2502cf0d2432d55a-Sim-Não-Não-Não-Não-Não-Não
c8a093dad8b15aee;2022;7;Sim;Não;Não;Não;Não;Não;Não;c8a093dad8b15aee-Sim-Não-Não-Não-Não-Não-Não
9849329aa461c7db;2022;10;Sim;Não;Não;Não;Não;Não;Não;9849329aa461c7db-Sim-Não-Não-Não-Não-Não-Não
de431994b03a1231;2022;11;Sim;Não;Não;Não;Não;Não;Não;de431994b03a1231-Sim-Não-Não-Não-Não-Não-Não
e49dba6b2ab8a816;2022;4;Sim;Não;Não;Não;Não;Não;Não;e49dba6b2ab8a816-Sim-Não-Não-Não-Não-Não-Não
478455573b902408;2022;5;Sim;Não;Não;Não;Não;Não;Não;478455573b902408-Sim-Não-Não-Não-Não-Não-Não
cdbb11cc373a8e0e;2022;5;Sim;Não;Não;Não;Não;Não;Não;cdbb11cc373a8e0e-Sim-Não-Não-Não-Não-Não-Não
8952d700896e8279;2022;5;Sim;Não;Não;Não;Não;Não;Não;8952d700896e8279-Sim-Não-Não-Não-Não-Não-Não
1e37c45ec54d300c;2022;5;Sim;Não;Não;Sim;Não;Não;Não;1e37c45ec54d300c-Sim-Não-Não-Sim-Não-Não-Não
5588331d3107034b;2022;5;Sim;Não;Não;Não;Não;Não;Não;5588331d3107034b-Sim-Não-Não-Não-Não-Não-Não
6676dfe889e5daa0;2022;4;Sim;Não;Não;Não;Não;Não;Não;6676dfe889e5daa0-Sim-Não-Não-Não-Não-Não-Não
dd3a86bc19936550;2022;4;Sim;Não;Não;Não;Não;Não;Não;dd3a86bc19936550-Sim-Não-Não-Não-Não-Não-Não
b5213e6e592d9ba0;2022;4;Sim;Não;Não;Não;Não;Não;Não;b5213e6e592d9ba0-Sim-Não-Não-Não-Não-Não-Não
519750f660069c3a;2022;4;Sim;Não;Não;Não;Não;Não;Não;519750f660069c3a-Sim-Não-Não-Não-Não-Não-Não
5fa56a08fad6737d;2022;12;Sim;Não;Não;Não;Não;Não;Não;5fa56a08fad6737d-Sim-Não-Não-Não-Não-Não-Não
3f2c977a5db1dcc5;2022;3;Sim;Não;Não;Não;Não;Não;Não;3f2c977a5db1dcc5-Sim-Não-Não-Não-Não-Não-Não
5a0086bf45c37e41;2022;8;Sim;Não;Não;Não;Não;Não;Não;5a0086bf45c37e41-Sim-Não-Não-Não-Não-Não-Não
8dbe9fb90efb63c3;2022;8;Sim;Não;Não;Não;Não;Não;Não;8dbe9fb90efb63c3-Sim-Não-Não-Não-Não-Não-Não
ba073521cb694261;2022;8;Sim;Não;Não;Não;Não;Não;Não;ba073521cb694261-Sim-Não-Não-Não-Não-Não-Não
71b3d59492298c37;2022;8;Sim;Não;Não;Não;Não;Não;Não;71b3d59492298c37-Sim-Não-Não-Não-Não-Não-Não
f55f968cd46a6922;2022;8;Sim;Não;Não;Não;Não;Não;Não;f55f968cd46a6922-Sim-Não-Não-Não-Não-Não-Não
ebc7727466862c2d;2022;5;Sim;Não;Não;Não;Não;Não;Não;ebc7727466862c2d-Sim-Não-Não-Não-Não-Não-Não
b0b1d1a3039c88f5;2022;5;Sim;Não;Não;Não;Não;Não;Não;b0b1d1a3039c88f5-Sim-Não-Não-Não-Não-Não-Não
60f1fe256a325fc7;2022;6;Sim;Não;Não;Não;Não;Não;Não;60f1fe256a325fc7-Sim-Não-Não-Não-Não-Não-Não
41d98ee42ddfe058;2022;6;Não;Sim;Não;Sim;Não;Não;Não;41d98ee42ddfe058-Não-Sim-Não-Sim-Não-Não-Não
36067bb9b9c2736a;2022;6;Sim;Não;Não;Não;Não;Não;Não;36067bb9b9c2736a-Sim-Não-Não-Não-Não-Não-Não
e4d407b938d2b6c0;2022;6;Sim;Não;Não;Não;Não;Não;Não;e4d407b938d2b6c0-Sim-Não-Não-Não-Não-Não-Não
938085ad2ab32c70;2022;12;Sim;Não;Não;Não;Não;Não;Não;938085ad2ab32c70-Sim-Não-Não-Não-Não-Não-Não
4f78adf6c1f988c5;2022;12;Sim;Não;Não;Não;Não;Não;Não;4f78adf6c1f988c5-Sim-Não-Não-Não-Não-Não-Não
b865beb42d2a6b02;2022;7;Sim;Não;Não;Não;Sim;Não;Não;b865beb42d2a6b02-Sim-Não-Não-Não-Sim-Não-Não
ab214f2db32fd307;2022;7;Sim;Não;Não;Não;Não;Não;Não;ab214f2db32fd307-Sim-Não-Não-Não-Não-Não-Não
cfdc3a37c498c570;2022;7;Sim;Não;Não;Não;Não;Não;Não;cfdc3a37c498c570-Sim-Não-Não-Não-Não-Não-Não
08689b4aeef75701;2022;12;Sim;Não;Não;Não;Não;Não;Não;08689b4aeef75701-Sim-Não-Não-Não-Não-Não-Não
084f89be34b72208;2022;12;Sim;Não;Não;Não;Não;Não;Não;084f89be34b72208-Sim-Não-Não-Não-Não-Não-Não
254ce1e0d7ed6daf;2022;12;Sim;Não;Não;Não;Não;Não;Não;254ce1e0d7ed6daf-Sim-Não-Não-Não-Não-Não-Não
675ad1c2f48de8af;2022;4;Sim;Não;Não;Não;Não;Não;Não;675ad1c2f48de8af-Sim-Não-Não-Não-Não-Não-Não
5e9b5a585ccf8232;2022;4;Sim;Não;Não;Não;Não;Não;Não;5e9b5a585ccf8232-Sim-Não-Não-Não-Não-Não-Não
b0e80729035a9dfc;2022;4;Sim;Não;Não;Não;Não;Não;Não;b0e80729035a9dfc-Sim-Não-Não-Não-Não-Não-Não
d0d357ab130f6ae9;2022;4;Sim;Não;Não;Não;Não;Não;Não;d0d357ab130f6ae9-Sim-Não-Não-Não-Não-Não-Não
2247e151eb561957;2022;4;Sim;Não;Não;Não;Não;Não;Não;2247e151eb561957-Sim-Não-Não-Não-Não-Não-Não
53e85ea4a6cbb172;2022;12;Sim;Não;Não;Não;Não;Não;Não;53e85ea4a6cbb172-Sim-Não-Não-Não-Não-Não-Não
f961d55ee255d231;2022;12;Sim;Não;Não;Não;Não;Não;Não;f961d55ee255d231-Sim-Não-Não-Não-Não-Não-Não
